iter	Logloss
0	0.6785838561
1	0.6636952884
2	0.6484910332
3	0.6362843537
4	0.6229564504
5	0.6122012798
6	0.600696454
7	0.5896594089
8	0.580280328
9	0.5717888284
10	0.5632741143
11	0.5555730948
12	0.5481859167
13	0.5415171534
14	0.5354007824
15	0.5293046511
16	0.5238902614
17	0.518021695
18	0.5126602823
19	0.5079591311
20	0.5035335337
21	0.4996132741
22	0.4955487133
23	0.4919226405
24	0.4878903985
25	0.4846811611
26	0.4816310346
27	0.4787254155
28	0.4753473566
29	0.4726192885
30	0.4701137781
31	0.4674460686
32	0.46469334
33	0.4624985454
34	0.459953183
35	0.4578433265
36	0.455508872
37	0.4538861604
38	0.4520586719
39	0.4505181659
40	0.4487783732
41	0.4470388585
42	0.4454844604
43	0.4435194628
44	0.4421684489
45	0.440803274
46	0.4395703698
47	0.4382503542
48	0.4369520107
49	0.4356383535
50	0.4343770638
51	0.4329291052
52	0.4320045955
53	0.4310600868
54	0.4299660078
55	0.4290478815
56	0.4281362611
57	0.4272419628
58	0.4261949773
59	0.4251655951
60	0.4244186219
61	0.4235086279
62	0.422778108
63	0.4219997943
64	0.4212267442
65	0.4204849644
66	0.419983926
67	0.4191810148
68	0.4186001065
69	0.4179946278
70	0.4174868905
71	0.4169392137
72	0.4164249694
73	0.4158302167
74	0.4153194355
75	0.4144696432
76	0.4139561396
77	0.4134909089
78	0.4129110796
79	0.4124770818
80	0.4119956768
81	0.4116188335
82	0.4110143674
83	0.4105968039
84	0.4101731552
85	0.4096046906
86	0.4092764726
87	0.4088711083
88	0.4085579488
89	0.408204979
90	0.4078453874
91	0.4073140599
92	0.4069717676
93	0.406703888
94	0.4063106913
95	0.4059406952
96	0.4055603991
97	0.4052182989
98	0.4048990349
99	0.4045820086
100	0.4042918946
101	0.4039030861
102	0.4035527206
103	0.403142761
104	0.4028329467
105	0.4025883364
106	0.4023056968
107	0.4020731417
108	0.4018066665
109	0.4016231436
110	0.4013348874
111	0.4010915998
112	0.4008687392
113	0.4005956135
114	0.4003533811
115	0.4001113968
116	0.3998670602
117	0.3996462306
118	0.3995748556
119	0.3992427604
120	0.3990064969
121	0.3987864095
122	0.3985201781
123	0.3982399669
124	0.39798372
125	0.3977836396
126	0.3975850867
127	0.3973310323
128	0.3971875914
129	0.3968193271
130	0.396603234
131	0.3963986615
132	0.3961794873
133	0.3960174736
134	0.3958553707
135	0.3956898336
136	0.395423944
137	0.3951985846
138	0.3950556098
139	0.3948667839
140	0.3945267003
141	0.3943090244
142	0.3941448577
143	0.3939963096
144	0.3937114321
145	0.3934609389
146	0.3932463316
147	0.393200524
148	0.3930503405
149	0.3928847632
150	0.392788247
151	0.3926381788
152	0.3924652486
153	0.3922853021
154	0.3919355101
155	0.3917998845
156	0.3916308634
157	0.3914551751
158	0.3913004228
159	0.3911434614
160	0.3909912411
161	0.3908332728
162	0.3906255492
163	0.3905075669
164	0.390334013
165	0.3902052047
166	0.3901074715
167	0.3898684769
168	0.3896713395
169	0.3895390525
170	0.3893770717
