iter	Passed	Remaining
0	3	3248
1	6	3260
2	9	3268
3	13	3276
4	16	3339
5	20	3331
6	23	3297
7	26	3297
8	29	3290
9	33	3320
10	37	3334
11	40	3337
12	43	3330
13	47	3322
14	50	3336
15	54	3331
16	57	3327
17	61	3332
18	64	3343
19	68	3357
20	72	3359
21	75	3360
22	79	3363
23	82	3364
24	86	3379
25	90	3382
26	94	3388
27	97	3390
28	101	3392
29	105	3398
30	109	3408
31	113	3422
32	117	3440
33	121	3459
34	125	3464
35	129	3465
36	133	3464
37	137	3470
38	141	3494
39	145	3493
40	149	3503
41	153	3503
42	157	3506
43	162	3540
44	167	3556
45	172	3567
46	176	3568
47	180	3575
48	184	3590
49	189	3601
50	193	3603
51	198	3615
52	202	3622
53	207	3639
54	213	3661
55	218	3683
56	222	3682
57	226	3682
58	231	3696
59	237	3720
60	241	3719
61	246	3728
62	251	3733
63	254	3728
64	258	3724
65	263	3724
66	267	3723
67	272	3729
68	276	3728
69	280	3727
70	284	3723
71	288	3718
72	292	3718
73	296	3712
74	301	3713
75	304	3705
76	309	3705
77	313	3703
78	316	3695
79	320	3691
80	324	3685
81	328	3680
82	332	3675
83	336	3670
84	340	3664
85	344	3660
86	348	3654
87	352	3653
88	356	3649
89	360	3643
90	364	3637
91	368	3633
92	371	3626
93	375	3620
94	379	3612
95	383	3611
96	387	3606
97	391	3600
98	395	3596
99	399	3591
100	403	3587
101	407	3583
102	411	3579
103	414	3574
104	418	3568
105	422	3564
106	426	3560
107	430	3556
108	434	3552
109	438	3549
110	442	3546
111	446	3540
112	450	3535
113	454	3530
114	458	3528
115	462	3522
116	466	3517
117	470	3514
118	472	3500
119	476	3495
120	480	3490
121	484	3484
122	488	3480
123	492	3476
124	495	3471
125	500	3469
126	504	3465
127	508	3460
128	512	3457
129	515	3452
130	519	3448
131	523	3442
132	527	3438
133	531	3437
134	535	3434
135	539	3429
136	543	3424
137	547	3422
138	551	3418
139	555	3415
140	559	3409
141	563	3405
142	567	3402
143	571	3396
144	575	3392
145	579	3387
146	583	3383
147	586	3373
148	589	3368
149	593	3365
150	597	3362
151	602	3358
152	605	3354
153	610	3352
154	614	3347
155	617	3343
156	621	3338
157	625	3334
158	629	3329
159	633	3324
160	637	3321
161	641	3318
162	645	3316
163	649	3313
164	653	3308
165	657	3304
166	662	3303
167	666	3299
168	670	3297
169	675	3297
170	678	3291
171	683	3291
172	687	3286
173	691	3281
174	694	3276
175	699	3273
176	704	3274
177	708	3270
178	712	3265
179	717	3268
180	722	3269
181	726	3266
182	731	3267
183	737	3268
184	741	3267
185	745	3263
186	750	3261
187	754	3257
188	758	3253
189	762	3252
190	767	3249
191	771	3248
192	776	3247
193	780	3244
194	785	3240
195	789	3238
196	793	3235
197	798	3233
198	802	3229
199	807	3228
200	811	3224
201	815	3220
202	819	3216
203	822	3210
204	827	3207
205	831	3205
206	835	3200
207	840	3198
208	844	3195
209	849	3194
210	853	3191
211	857	3186
212	861	3184
213	866	3181
214	870	3177
215	874	3173
216	878	3168
217	883	3167
218	887	3166
